id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_75_denoise_page_task","Denoise_page_task → _default_weights_path","Denoise_page_task → _default_weights_path","intra_community",5,"['comm_3']","Function:backend/app/workers/denoise_task.py:denoise_page_task","Function:backend/app/ai/denoising/model_loader.py:_default_weights_path"
"proc_76_onopenchange","OnOpenChange → AddToRemoveQueue","OnOpenChange → AddToRemoveQueue","intra_community",5,"['comm_69']","Function:frontend/components/ui/use-toast.ts:onOpenChange","Function:frontend/components/ui/use-toast.ts:addToRemoveQueue"
"proc_77_onopenchange","OnOpenChange → AddToRemoveQueue","OnOpenChange → AddToRemoveQueue","intra_community",5,"['comm_71']","Function:frontend/hooks/use-toast.ts:onOpenChange","Function:frontend/hooks/use-toast.ts:addToRemoveQueue"
"proc_78_dashboardsidebar","DashboardSidebar → SheetPortal","DashboardSidebar → SheetPortal","cross_community",4,"['comm_85','comm_95']","Function:frontend/components/dashboard/layout.tsx:DashboardSidebar","Function:frontend/components/ui/sheet.tsx:SheetPortal"
"proc_79_landingpage","LandingPage → Cn","LandingPage → Cn","cross_community",4,"['comm_84','comm_86','comm_78']","Function:frontend/app/page.tsx:LandingPage","Function:frontend/lib/utils.ts:cn"
"proc_80_landingpage","LandingPage → ResizeCanvas","LandingPage → ResizeCanvas","intra_community",4,"['comm_84']","Function:frontend/app/page.tsx:LandingPage","Function:frontend/components/animations/particles.tsx:resizeCanvas"
"proc_81_landingpage","LandingPage → Animate","LandingPage → Animate","intra_community",4,"['comm_84']","Function:frontend/app/page.tsx:LandingPage","Function:frontend/components/animations/particles.tsx:animate"
"proc_82_dashboardlayoutpage","DashboardLayoutPage → UseIsMobile","DashboardLayoutPage → UseIsMobile","intra_community",4,"['comm_70']","Function:frontend/app/(dashboard)/layout.tsx:DashboardLayoutPage","Function:frontend/hooks/use-mobile.ts:useIsMobile"
"proc_83_dashboardlayoutpage","DashboardLayoutPage → TooltipProvider","DashboardLayoutPage → TooltipProvider","cross_community",4,"['comm_70','comm_88']","Function:frontend/app/(dashboard)/layout.tsx:DashboardLayoutPage","Function:frontend/components/ui/tooltip.tsx:TooltipProvider"
"proc_84_dashboardlayoutpage","DashboardLayoutPage → UseAuth","DashboardLayoutPage → UseAuth","cross_community",4,"['comm_70','comm_85','comm_75']","Function:frontend/app/(dashboard)/layout.tsx:DashboardLayoutPage","Function:frontend/lib/auth-store.ts:useAuth"
"proc_85_register","Register → Create_refresh_token","Register → Create_refresh_token","intra_community",4,"['comm_12']","Function:backend/app/api/v1/endpoints/auth.py:register","Function:backend/app/core/security.py:create_refresh_token"
"proc_86_dev_login","Dev_login → Create_refresh_token","Dev_login → Create_refresh_token","intra_community",4,"['comm_12']","Function:backend/app/api/v1/endpoints/auth.py:dev_login","Function:backend/app/core/security.py:create_refresh_token"
"proc_87_get_final_text","Get_final_text → _apply_range","Get_final_text → _apply_range","intra_community",4,"['comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:get_final_text","Function:backend/app/services/tiptap_service.py:_apply_range"
"proc_88_get_final_text","Get_final_text → Text_to_tiptap","Get_final_text → Text_to_tiptap","intra_community",4,"['comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:get_final_text","Function:backend/app/services/tiptap_service.py:text_to_tiptap"
"proc_89_get_final_text","Get_final_text → _paragraph_confidence","Get_final_text → _paragraph_confidence","cross_community",4,"['comm_14','comm_8']","Function:backend/app/api/v1/endpoints/corrections.py:get_final_text","Function:backend/app/services/tiptap_service.py:_paragraph_confidence"
"proc_90_handlerunocr","HandleRunOcr → SortByPageNumber","HandleRunOcr → SortByPageNumber","cross_community",4,"['comm_81','comm_80']","Function:frontend/app/(dashboard)/dashboard/editor/[id]/page.tsx:handleRunOcr","Function:frontend/app/(dashboard)/dashboard/editor/[id]/page.tsx:sortByPageNumber"
